Quantity,Material with Thickness,Grade,Length (ft)
2,HSS6x6x3/8 Hollow Structural Section,ASTM A992,16.92
5,HSS4x4x1/4 Hollow Structural Section,ASTM A36,19.79
46,C8x11.5 Channel,ASTM A709 Grade 50,13.06
19,L4x4x3/8 Angle,ASTM A500 Grade C,7.61
31,W8x18 Wide Flange Beam,ASTM A572 Grade 50,19.27
27,C8x11.5 Channel,ASTM A36,7.51
48,PL 1/2 Steel Plate,ASTM A572 Grade 50,10.85
22,PL 3/8 Steel Plate,ASTM A588,2.99
30,L3x3x1/4 Angle,ASTM A588,14.15
32,L4x4x3/8 Angle,ASTM A500 Grade C,33.12
3,PL 1/2 Steel Plate,ASTM A36,2.38
4,PL 3/8 Steel Plate,ASTM A709 Grade 50,29.08
13,W8x18 Wide Flange Beam,ASTM A572 Grade 50,30.84
19,W10x22 Wide Flange Beam,ASTM A36,20.89
7,PL 3/8 Steel Plate,ASTM A500 Grade C,32.43
29,W10x22 Wide Flange Beam,ASTM A500 Grade B,10.52
14,PL 1/2 Steel Plate,ASTM A992,38.74
45,L4x4x3/8 Angle,ASTM A588,4.08
42,L4x4x3/8 Angle,ASTM A500 Grade B,38.31
33,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,17.8
3,PL 3/8 Steel Plate,ASTM A709 Grade 50,39.6
25,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,14.99
2,L4x4x3/8 Angle,ASTM A36,10.66
13,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,14.02
14,L4x4x3/8 Angle,ASTM A572 Grade 50,12.18
18,W8x18 Wide Flange Beam,ASTM A500 Grade C,39.31
43,W10x22 Wide Flange Beam,ASTM A500 Grade B,7.79
38,PL 3/8 Steel Plate,ASTM A36,35.0
7,PL 3/8 Steel Plate,ASTM A992,3.25
31,C10x15.3 Channel,ASTM A572 Grade 50,18.75
25,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,36.39
44,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,11.97
24,C10x15.3 Channel,ASTM A36,28.7
4,W8x18 Wide Flange Beam,ASTM A572 Grade 50,3.39
41,HSS4x4x1/4 Hollow Structural Section,ASTM A588,16.51
13,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,2.11
38,W8x18 Wide Flange Beam,ASTM A709 Grade 50,22.39
20,C10x15.3 Channel,ASTM A500 Grade B,16.85
20,PL 3/8 Steel Plate,ASTM A36,28.87
8,HSS4x4x1/4 Hollow Structural Section,ASTM A36,3.02
24,C8x11.5 Channel,ASTM A572 Grade 50,39.12
11,HSS4x4x1/4 Hollow Structural Section,ASTM A36,10.43
2,L3x3x1/4 Angle,ASTM A500 Grade C,17.75
4,PL 1/2 Steel Plate,ASTM A709 Grade 50,17.94
35,C10x15.3 Channel,ASTM A588,1.95
26,L4x4x3/8 Angle,ASTM A500 Grade B,9.1
47,L3x3x1/4 Angle,ASTM A36,32.14
35,W8x18 Wide Flange Beam,ASTM A992,11.75
29,PL 3/8 Steel Plate,ASTM A36,2.09
30,C10x15.3 Channel,ASTM A36,28.52
25,C10x15.3 Channel,ASTM A500 Grade B,5.15
21,PL 3/8 Steel Plate,ASTM A572 Grade 50,20.54
39,W10x22 Wide Flange Beam,ASTM A500 Grade C,11.68
17,L3x3x1/4 Angle,ASTM A588,10.41
43,C10x15.3 Channel,ASTM A572 Grade 50,27.24
33,L4x4x3/8 Angle,ASTM A572 Grade 50,29.55
33,W10x22 Wide Flange Beam,ASTM A992,34.98
10,C8x11.5 Channel,ASTM A572 Grade 50,21.99
5,C8x11.5 Channel,ASTM A572 Grade 50,30.08
21,PL 3/8 Steel Plate,ASTM A36,38.02
33,PL 1/2 Steel Plate,ASTM A500 Grade B,35.19
19,W8x18 Wide Flange Beam,ASTM A36,36.68
29,L3x3x1/4 Angle,ASTM A500 Grade C,15.34
7,HSS4x4x1/4 Hollow Structural Section,ASTM A36,11.43
11,HSS6x6x3/8 Hollow Structural Section,ASTM A36,28.97
8,C8x11.5 Channel,ASTM A572 Grade 50,19.8
29,HSS6x6x3/8 Hollow Structural Section,ASTM A36,7.39
14,L4x4x3/8 Angle,ASTM A588,22.44
43,W8x18 Wide Flange Beam,ASTM A588,5.97
27,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,39.1
50,L3x3x1/4 Angle,ASTM A500 Grade C,1.43
32,PL 3/8 Steel Plate,ASTM A500 Grade B,10.28
27,L4x4x3/8 Angle,ASTM A500 Grade B,14.93
37,L3x3x1/4 Angle,ASTM A588,9.4
26,L4x4x3/8 Angle,ASTM A709 Grade 50,39.08
12,C8x11.5 Channel,ASTM A709 Grade 50,38.82
48,L3x3x1/4 Angle,ASTM A992,16.77
1,HSS4x4x1/4 Hollow Structural Section,ASTM A36,21.2
22,C10x15.3 Channel,ASTM A572 Grade 50,24.05
32,W8x18 Wide Flange Beam,ASTM A500 Grade C,26.5
32,C8x11.5 Channel,ASTM A500 Grade B,20.27
13,W8x18 Wide Flange Beam,ASTM A588,12.66
24,C10x15.3 Channel,ASTM A709 Grade 50,23.83
21,HSS4x4x1/4 Hollow Structural Section,ASTM A36,34.08
14,W8x18 Wide Flange Beam,ASTM A500 Grade C,3.1
16,HSS6x6x3/8 Hollow Structural Section,ASTM A588,3.42
32,W8x18 Wide Flange Beam,ASTM A992,29.49
39,L4x4x3/8 Angle,ASTM A500 Grade C,15.45
27,W10x22 Wide Flange Beam,ASTM A500 Grade B,30.94
16,W10x22 Wide Flange Beam,ASTM A500 Grade C,25.79
6,L4x4x3/8 Angle,ASTM A572 Grade 50,34.82
2,L3x3x1/4 Angle,ASTM A572 Grade 50,19.33
30,W10x22 Wide Flange Beam,ASTM A588,26.57
48,C8x11.5 Channel,ASTM A992,20.23
2,L3x3x1/4 Angle,ASTM A709 Grade 50,3.36
11,C8x11.5 Channel,ASTM A500 Grade B,13.3
8,L4x4x3/8 Angle,ASTM A709 Grade 50,5.9
48,W8x18 Wide Flange Beam,ASTM A36,18.84
39,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,11.38
18,PL 1/2 Steel Plate,ASTM A992,8.92
18,PL 1/2 Steel Plate,ASTM A500 Grade C,13.78
9,W10x22 Wide Flange Beam,ASTM A572 Grade 50,39.3
50,W8x18 Wide Flange Beam,ASTM A500 Grade C,24.74
9,C8x11.5 Channel,ASTM A36,33.76
40,C10x15.3 Channel,ASTM A500 Grade C,3.96
50,HSS4x4x1/4 Hollow Structural Section,ASTM A36,39.67
11,PL 1/2 Steel Plate,ASTM A500 Grade B,21.87
8,C8x11.5 Channel,ASTM A36,16.53
6,L4x4x3/8 Angle,ASTM A588,38.91
29,W8x18 Wide Flange Beam,ASTM A572 Grade 50,16.45
16,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,17.58
44,W10x22 Wide Flange Beam,ASTM A588,4.21
32,W8x18 Wide Flange Beam,ASTM A709 Grade 50,3.31
15,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,30.52
46,PL 1/2 Steel Plate,ASTM A36,1.06
7,C8x11.5 Channel,ASTM A709 Grade 50,30.89
30,HSS6x6x3/8 Hollow Structural Section,ASTM A588,32.52
40,HSS4x4x1/4 Hollow Structural Section,ASTM A36,4.3
32,W10x22 Wide Flange Beam,ASTM A992,7.15
32,W10x22 Wide Flange Beam,ASTM A992,3.98
16,HSS4x4x1/4 Hollow Structural Section,ASTM A588,22.52
44,L3x3x1/4 Angle,ASTM A572 Grade 50,30.48
26,HSS6x6x3/8 Hollow Structural Section,ASTM A992,2.33
5,C10x15.3 Channel,ASTM A36,24.84
49,W8x18 Wide Flange Beam,ASTM A500 Grade C,19.51
4,W8x18 Wide Flange Beam,ASTM A500 Grade C,35.01
41,W8x18 Wide Flange Beam,ASTM A500 Grade B,16.67
37,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,22.94
7,C10x15.3 Channel,ASTM A709 Grade 50,26.74
43,W8x18 Wide Flange Beam,ASTM A572 Grade 50,19.42
23,L3x3x1/4 Angle,ASTM A572 Grade 50,34.55
29,C8x11.5 Channel,ASTM A709 Grade 50,29.52
48,L4x4x3/8 Angle,ASTM A572 Grade 50,3.78
39,W10x22 Wide Flange Beam,ASTM A588,26.62
9,C8x11.5 Channel,ASTM A36,36.51
16,C10x15.3 Channel,ASTM A36,29.34
35,C10x15.3 Channel,ASTM A588,36.47
12,C8x11.5 Channel,ASTM A500 Grade B,18.95
40,PL 1/2 Steel Plate,ASTM A588,32.85
44,C8x11.5 Channel,ASTM A36,23.56
26,HSS4x4x1/4 Hollow Structural Section,ASTM A992,25.45
32,L3x3x1/4 Angle,ASTM A709 Grade 50,9.15
10,L4x4x3/8 Angle,ASTM A36,6.12
43,L4x4x3/8 Angle,ASTM A500 Grade B,16.02
26,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,18.03
47,PL 1/2 Steel Plate,ASTM A992,26.4
6,PL 3/8 Steel Plate,ASTM A572 Grade 50,36.85
46,W8x18 Wide Flange Beam,ASTM A500 Grade C,4.42
36,C10x15.3 Channel,ASTM A36,23.89
46,HSS6x6x3/8 Hollow Structural Section,ASTM A992,5.16
14,W10x22 Wide Flange Beam,ASTM A36,26.04
14,PL 1/2 Steel Plate,ASTM A500 Grade C,15.64
49,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,23.17
5,HSS6x6x3/8 Hollow Structural Section,ASTM A588,5.93
34,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,12.75
42,PL 3/8 Steel Plate,ASTM A500 Grade C,24.03
2,W10x22 Wide Flange Beam,ASTM A36,15.94
42,PL 3/8 Steel Plate,ASTM A588,14.11
26,PL 3/8 Steel Plate,ASTM A709 Grade 50,15.31
32,PL 3/8 Steel Plate,ASTM A709 Grade 50,3.09
36,PL 1/2 Steel Plate,ASTM A992,2.38
47,PL 3/8 Steel Plate,ASTM A709 Grade 50,31.98
36,L3x3x1/4 Angle,ASTM A572 Grade 50,24.54
20,PL 3/8 Steel Plate,ASTM A709 Grade 50,10.11
27,L4x4x3/8 Angle,ASTM A572 Grade 50,20.12
16,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,4.21
9,L4x4x3/8 Angle,ASTM A588,35.3
34,C10x15.3 Channel,ASTM A709 Grade 50,4.49
39,C8x11.5 Channel,ASTM A588,12.62
12,C8x11.5 Channel,ASTM A992,10.31
25,PL 3/8 Steel Plate,ASTM A500 Grade C,8.38
13,L3x3x1/4 Angle,ASTM A36,9.33
28,L3x3x1/4 Angle,ASTM A992,21.27
40,PL 3/8 Steel Plate,ASTM A572 Grade 50,19.11
44,PL 1/2 Steel Plate,ASTM A572 Grade 50,38.31
46,L3x3x1/4 Angle,ASTM A572 Grade 50,7.35
6,W8x18 Wide Flange Beam,ASTM A572 Grade 50,17.99
12,C8x11.5 Channel,ASTM A588,29.3
5,HSS4x4x1/4 Hollow Structural Section,ASTM A992,24.83
17,C10x15.3 Channel,ASTM A588,31.78
21,PL 1/2 Steel Plate,ASTM A500 Grade C,16.45
35,W10x22 Wide Flange Beam,ASTM A572 Grade 50,20.59
33,W8x18 Wide Flange Beam,ASTM A500 Grade C,13.87
8,PL 3/8 Steel Plate,ASTM A572 Grade 50,3.86
8,PL 3/8 Steel Plate,ASTM A500 Grade B,15.08
36,W8x18 Wide Flange Beam,ASTM A992,3.64
43,HSS6x6x3/8 Hollow Structural Section,ASTM A588,26.3
13,PL 3/8 Steel Plate,ASTM A709 Grade 50,16.58
27,C10x15.3 Channel,ASTM A500 Grade C,9.21
1,L3x3x1/4 Angle,ASTM A992,25.82
3,PL 1/2 Steel Plate,ASTM A36,26.21
21,C8x11.5 Channel,ASTM A500 Grade C,39.95
41,W8x18 Wide Flange Beam,ASTM A500 Grade C,3.85
35,W8x18 Wide Flange Beam,ASTM A500 Grade C,28.64
10,W8x18 Wide Flange Beam,ASTM A992,8.47
38,C10x15.3 Channel,ASTM A588,23.78
33,PL 1/2 Steel Plate,ASTM A992,27.66
31,L4x4x3/8 Angle,ASTM A572 Grade 50,28.45
45,PL 3/8 Steel Plate,ASTM A572 Grade 50,38.37
22,W8x18 Wide Flange Beam,ASTM A36,36.26
41,PL 1/2 Steel Plate,ASTM A992,16.11
2,PL 3/8 Steel Plate,ASTM A500 Grade C,14.01
31,L3x3x1/4 Angle,ASTM A500 Grade B,36.75
13,W8x18 Wide Flange Beam,ASTM A572 Grade 50,26.76
14,PL 1/2 Steel Plate,ASTM A500 Grade C,34.35
45,PL 1/2 Steel Plate,ASTM A500 Grade B,31.92
16,HSS4x4x1/4 Hollow Structural Section,ASTM A588,22.94
44,W8x18 Wide Flange Beam,ASTM A572 Grade 50,12.86
46,C10x15.3 Channel,ASTM A500 Grade C,30.88
35,PL 1/2 Steel Plate,ASTM A36,11.77
15,HSS6x6x3/8 Hollow Structural Section,ASTM A588,3.67
23,HSS4x4x1/4 Hollow Structural Section,ASTM A36,2.89
32,PL 3/8 Steel Plate,ASTM A572 Grade 50,25.64
48,W8x18 Wide Flange Beam,ASTM A36,34.47
28,L4x4x3/8 Angle,ASTM A500 Grade B,28.71
17,HSS4x4x1/4 Hollow Structural Section,ASTM A36,23.22
8,C10x15.3 Channel,ASTM A36,10.62
18,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,31.66
9,HSS4x4x1/4 Hollow Structural Section,ASTM A992,30.85
8,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,36.49
35,L3x3x1/4 Angle,ASTM A500 Grade C,1.31
21,W10x22 Wide Flange Beam,ASTM A572 Grade 50,38.88
23,HSS6x6x3/8 Hollow Structural Section,ASTM A588,38.49
48,L4x4x3/8 Angle,ASTM A588,7.83
30,W10x22 Wide Flange Beam,ASTM A709 Grade 50,1.25
40,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,39.6
30,HSS4x4x1/4 Hollow Structural Section,ASTM A36,35.84
8,PL 1/2 Steel Plate,ASTM A992,8.09
27,W10x22 Wide Flange Beam,ASTM A588,35.3
41,W10x22 Wide Flange Beam,ASTM A588,22.53
39,W8x18 Wide Flange Beam,ASTM A36,18.7
50,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,20.86
46,C10x15.3 Channel,ASTM A500 Grade C,20.38
27,PL 3/8 Steel Plate,ASTM A992,32.9
10,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,24.99
9,C10x15.3 Channel,ASTM A572 Grade 50,32.58
37,L4x4x3/8 Angle,ASTM A500 Grade C,8.3
9,L4x4x3/8 Angle,ASTM A500 Grade B,13.13
12,W10x22 Wide Flange Beam,ASTM A36,35.96
17,W8x18 Wide Flange Beam,ASTM A500 Grade B,21.81
45,C8x11.5 Channel,ASTM A992,12.04
36,W10x22 Wide Flange Beam,ASTM A500 Grade C,5.92
42,PL 3/8 Steel Plate,ASTM A36,31.66
12,PL 1/2 Steel Plate,ASTM A500 Grade B,24.89
16,L4x4x3/8 Angle,ASTM A572 Grade 50,3.59
2,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,29.56
44,L3x3x1/4 Angle,ASTM A572 Grade 50,1.76
21,C8x11.5 Channel,ASTM A36,37.73
7,L4x4x3/8 Angle,ASTM A572 Grade 50,13.65
42,C8x11.5 Channel,ASTM A500 Grade B,18.18
21,HSS4x4x1/4 Hollow Structural Section,ASTM A36,22.75
37,L4x4x3/8 Angle,ASTM A500 Grade C,37.15
24,L4x4x3/8 Angle,ASTM A992,18.95
26,L3x3x1/4 Angle,ASTM A36,34.58
47,L3x3x1/4 Angle,ASTM A36,19.22
17,L4x4x3/8 Angle,ASTM A500 Grade C,8.4
35,C8x11.5 Channel,ASTM A500 Grade B,37.28
11,L4x4x3/8 Angle,ASTM A588,5.61
20,L3x3x1/4 Angle,ASTM A36,13.23
34,PL 1/2 Steel Plate,ASTM A709 Grade 50,25.34
2,C8x11.5 Channel,ASTM A588,33.77
8,C10x15.3 Channel,ASTM A572 Grade 50,32.77
39,W10x22 Wide Flange Beam,ASTM A709 Grade 50,11.41
8,PL 3/8 Steel Plate,ASTM A500 Grade B,21.36
20,W10x22 Wide Flange Beam,ASTM A588,30.82
17,L4x4x3/8 Angle,ASTM A709 Grade 50,9.58
43,C10x15.3 Channel,ASTM A992,38.21
31,W8x18 Wide Flange Beam,ASTM A992,2.44
43,L4x4x3/8 Angle,ASTM A572 Grade 50,13.73
4,HSS4x4x1/4 Hollow Structural Section,ASTM A36,10.12
9,PL 3/8 Steel Plate,ASTM A709 Grade 50,1.12
16,C10x15.3 Channel,ASTM A572 Grade 50,17.2
18,W8x18 Wide Flange Beam,ASTM A500 Grade B,29.45
19,C10x15.3 Channel,ASTM A500 Grade C,28.42
20,C10x15.3 Channel,ASTM A709 Grade 50,30.9
14,W10x22 Wide Flange Beam,ASTM A709 Grade 50,17.36
40,HSS4x4x1/4 Hollow Structural Section,ASTM A588,33.3
50,W8x18 Wide Flange Beam,ASTM A500 Grade C,19.94
19,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,10.02
38,HSS4x4x1/4 Hollow Structural Section,ASTM A36,11.73
9,L4x4x3/8 Angle,ASTM A992,17.49
1,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,20.68
19,PL 1/2 Steel Plate,ASTM A572 Grade 50,22.56
27,PL 1/2 Steel Plate,ASTM A500 Grade C,26.99
5,L3x3x1/4 Angle,ASTM A709 Grade 50,26.66
5,W8x18 Wide Flange Beam,ASTM A588,24.27
44,PL 1/2 Steel Plate,ASTM A709 Grade 50,19.97
24,PL 1/2 Steel Plate,ASTM A992,39.19
46,L3x3x1/4 Angle,ASTM A992,23.61
26,C8x11.5 Channel,ASTM A992,33.0
45,W10x22 Wide Flange Beam,ASTM A500 Grade B,18.21
6,C8x11.5 Channel,ASTM A992,10.78
40,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,34.76
30,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,25.86
7,HSS4x4x1/4 Hollow Structural Section,ASTM A588,38.93
43,L3x3x1/4 Angle,ASTM A588,21.15
29,PL 1/2 Steel Plate,ASTM A36,3.09
50,HSS6x6x3/8 Hollow Structural Section,ASTM A992,23.36
18,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,13.14
27,PL 3/8 Steel Plate,ASTM A572 Grade 50,34.75
27,W10x22 Wide Flange Beam,ASTM A36,34.25
11,L3x3x1/4 Angle,ASTM A36,15.07
23,W10x22 Wide Flange Beam,ASTM A36,16.19
25,L3x3x1/4 Angle,ASTM A709 Grade 50,23.23
12,W10x22 Wide Flange Beam,ASTM A500 Grade C,9.64
5,W10x22 Wide Flange Beam,ASTM A36,26.43
3,W8x18 Wide Flange Beam,ASTM A572 Grade 50,6.45
12,C8x11.5 Channel,ASTM A709 Grade 50,14.37
43,PL 3/8 Steel Plate,ASTM A500 Grade C,36.7
44,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,9.79
21,C8x11.5 Channel,ASTM A500 Grade C,7.7
29,L3x3x1/4 Angle,ASTM A992,12.54
50,W8x18 Wide Flange Beam,ASTM A992,27.29
9,C10x15.3 Channel,ASTM A500 Grade B,17.38
30,HSS4x4x1/4 Hollow Structural Section,ASTM A36,22.62
5,PL 1/2 Steel Plate,ASTM A572 Grade 50,19.58
9,W8x18 Wide Flange Beam,ASTM A36,29.39
20,HSS6x6x3/8 Hollow Structural Section,ASTM A588,30.69
15,W10x22 Wide Flange Beam,ASTM A588,34.31
43,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,15.47
41,W8x18 Wide Flange Beam,ASTM A500 Grade C,3.22
8,C8x11.5 Channel,ASTM A500 Grade C,25.39
29,W8x18 Wide Flange Beam,ASTM A500 Grade C,25.64
22,HSS4x4x1/4 Hollow Structural Section,ASTM A36,33.12
1,W8x18 Wide Flange Beam,ASTM A500 Grade C,38.05
27,W10x22 Wide Flange Beam,ASTM A992,20.09
37,W10x22 Wide Flange Beam,ASTM A709 Grade 50,30.02
32,C8x11.5 Channel,ASTM A992,29.61
31,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,37.81
36,HSS4x4x1/4 Hollow Structural Section,ASTM A36,25.87
40,HSS4x4x1/4 Hollow Structural Section,ASTM A992,1.39
35,PL 3/8 Steel Plate,ASTM A572 Grade 50,11.86
33,W10x22 Wide Flange Beam,ASTM A572 Grade 50,22.33
48,C10x15.3 Channel,ASTM A572 Grade 50,7.8
4,W8x18 Wide Flange Beam,ASTM A709 Grade 50,1.6
5,C8x11.5 Channel,ASTM A588,30.16
24,L4x4x3/8 Angle,ASTM A500 Grade B,13.02
27,W8x18 Wide Flange Beam,ASTM A36,37.13
38,C10x15.3 Channel,ASTM A992,20.73
16,C8x11.5 Channel,ASTM A36,35.6
16,W8x18 Wide Flange Beam,ASTM A709 Grade 50,29.21
26,L4x4x3/8 Angle,ASTM A588,15.5
23,W10x22 Wide Flange Beam,ASTM A500 Grade C,36.95
47,W10x22 Wide Flange Beam,ASTM A572 Grade 50,21.97
19,C10x15.3 Channel,ASTM A992,16.5
26,HSS4x4x1/4 Hollow Structural Section,ASTM A36,15.67
39,C8x11.5 Channel,ASTM A500 Grade C,34.93
10,C10x15.3 Channel,ASTM A500 Grade C,23.99
14,PL 1/2 Steel Plate,ASTM A709 Grade 50,32.37
6,L4x4x3/8 Angle,ASTM A572 Grade 50,32.41
42,C8x11.5 Channel,ASTM A36,7.62
43,PL 1/2 Steel Plate,ASTM A588,21.6
50,PL 1/2 Steel Plate,ASTM A572 Grade 50,15.45
50,C8x11.5 Channel,ASTM A992,9.06
39,W10x22 Wide Flange Beam,ASTM A709 Grade 50,7.48
2,W10x22 Wide Flange Beam,ASTM A572 Grade 50,25.14
2,L4x4x3/8 Angle,ASTM A992,5.03
16,L3x3x1/4 Angle,ASTM A992,26.37
24,W8x18 Wide Flange Beam,ASTM A709 Grade 50,20.19
3,W10x22 Wide Flange Beam,ASTM A992,26.19
19,W10x22 Wide Flange Beam,ASTM A36,11.18
5,C10x15.3 Channel,ASTM A588,33.93
40,HSS6x6x3/8 Hollow Structural Section,ASTM A36,5.83
44,W10x22 Wide Flange Beam,ASTM A992,33.83
42,C8x11.5 Channel,ASTM A572 Grade 50,29.86
46,PL 1/2 Steel Plate,ASTM A572 Grade 50,6.65
47,C10x15.3 Channel,ASTM A500 Grade C,29.59
45,L4x4x3/8 Angle,ASTM A500 Grade C,33.22
25,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,12.36
42,C8x11.5 Channel,ASTM A36,23.78
7,W10x22 Wide Flange Beam,ASTM A588,17.59
45,L3x3x1/4 Angle,ASTM A572 Grade 50,10.62
23,L4x4x3/8 Angle,ASTM A36,17.24
8,W10x22 Wide Flange Beam,ASTM A36,34.96
11,W10x22 Wide Flange Beam,ASTM A572 Grade 50,25.93
43,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,13.05
39,PL 3/8 Steel Plate,ASTM A36,13.07
2,C10x15.3 Channel,ASTM A500 Grade B,20.73
32,PL 3/8 Steel Plate,ASTM A572 Grade 50,12.62
28,PL 1/2 Steel Plate,ASTM A500 Grade C,13.37
18,W8x18 Wide Flange Beam,ASTM A500 Grade C,22.4
26,PL 1/2 Steel Plate,ASTM A500 Grade B,32.81
18,PL 3/8 Steel Plate,ASTM A500 Grade B,17.99
42,PL 1/2 Steel Plate,ASTM A992,16.51
12,W10x22 Wide Flange Beam,ASTM A572 Grade 50,10.59
22,PL 1/2 Steel Plate,ASTM A500 Grade C,4.33
41,L3x3x1/4 Angle,ASTM A992,20.24
31,PL 1/2 Steel Plate,ASTM A588,29.42
3,L4x4x3/8 Angle,ASTM A36,18.75
43,L3x3x1/4 Angle,ASTM A709 Grade 50,7.1
22,HSS6x6x3/8 Hollow Structural Section,ASTM A36,9.87
24,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,34.62
35,W8x18 Wide Flange Beam,ASTM A572 Grade 50,4.45
10,PL 1/2 Steel Plate,ASTM A588,16.92
23,C10x15.3 Channel,ASTM A500 Grade C,31.88
38,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,14.86
21,W10x22 Wide Flange Beam,ASTM A709 Grade 50,29.17
43,C10x15.3 Channel,ASTM A588,33.34
23,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,39.77
12,C10x15.3 Channel,ASTM A572 Grade 50,28.73
48,W10x22 Wide Flange Beam,ASTM A709 Grade 50,17.72
48,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,7.26
33,HSS4x4x1/4 Hollow Structural Section,ASTM A588,13.56
31,W8x18 Wide Flange Beam,ASTM A588,5.59
44,PL 3/8 Steel Plate,ASTM A588,9.12
25,PL 1/2 Steel Plate,ASTM A709 Grade 50,30.18
18,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,37.88
17,C8x11.5 Channel,ASTM A572 Grade 50,8.24
50,C8x11.5 Channel,ASTM A500 Grade B,6.01
34,PL 1/2 Steel Plate,ASTM A588,24.77
10,W8x18 Wide Flange Beam,ASTM A992,11.69
33,L4x4x3/8 Angle,ASTM A572 Grade 50,12.43
36,L4x4x3/8 Angle,ASTM A500 Grade B,9.91
47,C8x11.5 Channel,ASTM A992,29.9
26,C8x11.5 Channel,ASTM A500 Grade C,39.79
31,W10x22 Wide Flange Beam,ASTM A588,34.01
15,L3x3x1/4 Angle,ASTM A500 Grade B,28.5
40,PL 1/2 Steel Plate,ASTM A500 Grade B,34.8
49,C8x11.5 Channel,ASTM A992,15.75
43,C10x15.3 Channel,ASTM A500 Grade B,34.82
14,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,1.34
18,PL 3/8 Steel Plate,ASTM A992,31.74
12,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,16.58
35,PL 1/2 Steel Plate,ASTM A588,16.02
8,PL 3/8 Steel Plate,ASTM A500 Grade B,33.98
50,C10x15.3 Channel,ASTM A709 Grade 50,16.76
27,C8x11.5 Channel,ASTM A588,28.34
1,C8x11.5 Channel,ASTM A709 Grade 50,15.76
25,C8x11.5 Channel,ASTM A709 Grade 50,29.02
35,W10x22 Wide Flange Beam,ASTM A992,29.07
46,C10x15.3 Channel,ASTM A500 Grade C,30.49
16,L3x3x1/4 Angle,ASTM A572 Grade 50,29.85
34,HSS4x4x1/4 Hollow Structural Section,ASTM A36,11.59
40,L3x3x1/4 Angle,ASTM A992,7.84
28,L4x4x3/8 Angle,ASTM A588,8.66
30,L3x3x1/4 Angle,ASTM A992,38.76
9,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,4.36
27,C10x15.3 Channel,ASTM A588,32.75
4,W10x22 Wide Flange Beam,ASTM A588,24.1
26,L3x3x1/4 Angle,ASTM A500 Grade B,33.21
46,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,10.64
50,W8x18 Wide Flange Beam,ASTM A709 Grade 50,10.44
50,L3x3x1/4 Angle,ASTM A572 Grade 50,18.52
26,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,27.56
18,L4x4x3/8 Angle,ASTM A709 Grade 50,34.63
5,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,17.03
28,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,5.64
22,W8x18 Wide Flange Beam,ASTM A500 Grade B,10.66
20,PL 1/2 Steel Plate,ASTM A36,8.44
8,PL 3/8 Steel Plate,ASTM A500 Grade B,19.53
38,W10x22 Wide Flange Beam,ASTM A992,9.97
